,Income_Category
7903,Unknown
6281,$40K - $60K
3294,$80K - $120K
5701,$80K - $120K
1741,$40K - $60K
8653,$40K - $60K
8689,$40K - $60K
1229,$80K - $120K
1490,$120K +
9828,$60K - $80K
4742,Less than $40K
10061,Less than $40K
8918,$60K - $80K
4825,Unknown
2722,Less than $40K
5220,$80K - $120K
8112,Less than $40K
3902,$120K +
7119,$80K - $120K
26,$40K - $60K
8379,Less than $40K
5165,Unknown
5910,Unknown
4625,$80K - $120K
8654,$120K +
4145,$60K - $80K
9108,$80K - $120K
3542,$40K - $60K
9825,$40K - $60K
3499,$60K - $80K
7694,Less than $40K
1102,Less than $40K
718,Less than $40K
9169,Less than $40K
3408,$60K - $80K
2932,$40K - $60K
5281,Unknown
9493,Less than $40K
4339,Unknown
3184,Less than $40K
9569,Less than $40K
8172,Unknown
7065,$40K - $60K
4776,Less than $40K
68,$60K - $80K
3860,$80K - $120K
8547,Unknown
1323,$40K - $60K
980,$40K - $60K
4371,$60K - $80K
3355,$60K - $80K
462,Less than $40K
2991,$80K - $120K
7245,$40K - $60K
9120,$40K - $60K
354,$40K - $60K
8837,$80K - $120K
6440,$120K +
4417,$80K - $120K
5919,Less than $40K
3980,Unknown
8152,$80K - $120K
6428,Less than $40K
4703,$120K +
1461,$120K +
6042,$120K +
5679,Less than $40K
1665,$120K +
9468,Less than $40K
4511,Unknown
2166,$60K - $80K
3132,$40K - $60K
3489,$60K - $80K
7714,Unknown
9287,$80K - $120K
6549,$40K - $60K
2899,$80K - $120K
7751,Less than $40K
101,Unknown
9458,$80K - $120K
7777,Unknown
1142,Less than $40K
6437,$40K - $60K
6103,$40K - $60K
7759,$40K - $60K
1813,$60K - $80K
6426,$40K - $60K
986,Less than $40K
2422,$120K +
4967,$40K - $60K
1283,Less than $40K
3749,Unknown
8457,Less than $40K
2579,$80K - $120K
6105,Less than $40K
3171,$40K - $60K
3075,Less than $40K
1710,Less than $40K
148,Unknown
1052,$40K - $60K
8047,Less than $40K
5769,$40K - $60K
235,$60K - $80K
1768,Less than $40K
161,Unknown
6269,Less than $40K
5503,$60K - $80K
7973,Unknown
4874,$60K - $80K
1870,Less than $40K
2158,$120K +
7803,Less than $40K
4664,$120K +
6663,Less than $40K
6375,$80K - $120K
7654,Less than $40K
9280,$80K - $120K
6998,$40K - $60K
3267,$80K - $120K
372,Less than $40K
6107,Less than $40K
5057,Less than $40K
8625,$80K - $120K
7095,$40K - $60K
5761,$40K - $60K
3233,Less than $40K
10084,Less than $40K
6970,$80K - $120K
9010,Less than $40K
2359,Less than $40K
4525,Unknown
6465,$40K - $60K
889,$80K - $120K
4272,$80K - $120K
5722,$60K - $80K
1058,Less than $40K
8729,$40K - $60K
1860,$40K - $60K
5149,Less than $40K
3115,$60K - $80K
8806,$40K - $60K
6932,Less than $40K
6091,Unknown
2432,$80K - $120K
640,$80K - $120K
2313,Less than $40K
898,Less than $40K
3185,$80K - $120K
5879,Less than $40K
3786,$80K - $120K
3864,$60K - $80K
8108,Less than $40K
6448,Less than $40K
3718,Less than $40K
1178,Less than $40K
3028,$80K - $120K
9914,$60K - $80K
8259,Less than $40K
1755,$40K - $60K
5607,Unknown
8230,$60K - $80K
4198,$80K - $120K
401,$120K +
1201,Less than $40K
7366,$60K - $80K
3768,Less than $40K
387,$60K - $80K
1668,$80K - $120K
7947,Less than $40K
7448,Unknown
4537,Unknown
9110,$40K - $60K
705,$40K - $60K
8175,$40K - $60K
23,Less than $40K
1385,$60K - $80K
3254,$80K - $120K
8115,$40K - $60K
8314,Less than $40K
8728,$40K - $60K
1895,Less than $40K
4170,$60K - $80K
10045,$60K - $80K
9088,$40K - $60K
1394,Less than $40K
7046,Less than $40K
4374,Unknown
4585,$120K +
7080,Less than $40K
3052,Less than $40K
9702,Less than $40K
7126,Less than $40K
8571,$60K - $80K
8042,$40K - $60K
8685,Less than $40K
1384,Less than $40K
5656,$60K - $80K
6142,$40K - $60K
6006,$60K - $80K
9126,$80K - $120K
2596,$60K - $80K
3228,$40K - $60K
8123,Less than $40K
3420,Less than $40K
10041,$60K - $80K
3370,$80K - $120K
2512,$80K - $120K
968,$60K - $80K
99,$80K - $120K
2047,$40K - $60K
6053,Less than $40K
8525,Less than $40K
4575,Less than $40K
8246,Less than $40K
5748,$40K - $60K
5789,Less than $40K
5228,Unknown
9102,Unknown
2941,$80K - $120K
3528,Unknown
7163,Less than $40K
8524,$60K - $80K
9247,$60K - $80K
7241,$80K - $120K
6464,$40K - $60K
4804,Unknown
2124,$80K - $120K
6515,$60K - $80K
9520,Less than $40K
4157,Less than $40K
483,Less than $40K
6169,$60K - $80K
7729,$120K +
5832,$60K - $80K
6559,$40K - $60K
1376,$60K - $80K
7289,$40K - $60K
2009,$80K - $120K
2686,$40K - $60K
9370,$120K +
5403,$80K - $120K
4945,$60K - $80K
1455,Unknown
2205,$40K - $60K
1825,Less than $40K
7360,Less than $40K
6487,Less than $40K
4859,$60K - $80K
6967,$60K - $80K
7594,Unknown
2659,Less than $40K
1723,$80K - $120K
6131,Less than $40K
2456,Less than $40K
4552,Less than $40K
7744,$80K - $120K
8318,$60K - $80K
4722,$80K - $120K
4960,Less than $40K
8715,$60K - $80K
7033,$80K - $120K
1340,Unknown
5212,Less than $40K
303,$60K - $80K
5203,$60K - $80K
6999,Less than $40K
5189,Less than $40K
8253,$60K - $80K
3711,$80K - $120K
1127,$60K - $80K
9469,Less than $40K
6357,Unknown
7355,Unknown
681,$60K - $80K
499,Less than $40K
1798,Less than $40K
200,$80K - $120K
1126,Less than $40K
9662,Less than $40K
7161,Less than $40K
2848,Less than $40K
4230,$60K - $80K
346,Less than $40K
9668,$60K - $80K
2431,Unknown
7254,Less than $40K
530,Less than $40K
4554,Less than $40K
1639,$60K - $80K
9439,$80K - $120K
8627,Less than $40K
9213,$60K - $80K
9312,$60K - $80K
1452,$80K - $120K
1635,$60K - $80K
8912,$80K - $120K
8631,$120K +
6552,Less than $40K
5252,Unknown
340,Less than $40K
3290,$80K - $120K
1471,$120K +
8323,Less than $40K
9078,Less than $40K
2513,Unknown
4545,$60K - $80K
7061,$60K - $80K
942,$40K - $60K
8417,$40K - $60K
1861,$40K - $60K
9637,$80K - $120K
5042,Less than $40K
5932,$40K - $60K
7154,$40K - $60K
1036,$40K - $60K
1899,Less than $40K
3227,$40K - $60K
7534,Less than $40K
170,Unknown
6079,$60K - $80K
4173,$60K - $80K
6593,$120K +
1159,$40K - $60K
4855,$60K - $80K
4043,Unknown
763,$60K - $80K
5806,Less than $40K
140,Less than $40K
9697,Less than $40K
787,Less than $40K
7118,Less than $40K
136,$60K - $80K
7512,Less than $40K
5248,Less than $40K
2045,$120K +
2492,Unknown
1246,$80K - $120K
976,$80K - $120K
1707,$80K - $120K
4302,Unknown
8412,Less than $40K
4712,$60K - $80K
3888,Unknown
2668,$120K +
5097,Less than $40K
876,$120K +
8462,Less than $40K
8367,$40K - $60K
3023,Less than $40K
8507,Less than $40K
3470,Unknown
4451,Less than $40K
7288,Unknown
574,$40K - $60K
6401,$40K - $60K
712,Less than $40K
7467,Less than $40K
2074,Less than $40K
392,$60K - $80K
1848,$40K - $60K
2210,Unknown
2930,Less than $40K
7967,Less than $40K
6082,$40K - $60K
5824,$40K - $60K
7809,Unknown
555,Unknown
2306,$40K - $60K
5644,Unknown
7215,Unknown
7857,$40K - $60K
4587,$80K - $120K
4070,Unknown
935,$60K - $80K
9081,$40K - $60K
4498,Unknown
2377,Unknown
2298,$60K - $80K
7274,Less than $40K
249,$60K - $80K
3660,Less than $40K
4786,Unknown
3544,$80K - $120K
6240,Unknown
3827,Less than $40K
6021,Less than $40K
8827,$80K - $120K
739,$120K +
1205,Less than $40K
6587,$40K - $60K
1322,$80K - $120K
1792,$40K - $60K
7187,$40K - $60K
8836,$60K - $80K
4120,$80K - $120K
9851,$120K +
7779,$60K - $80K
2091,$60K - $80K
2123,Less than $40K
8762,$80K - $120K
8759,$60K - $80K
1780,$60K - $80K
8683,$40K - $60K
7137,Less than $40K
8772,Less than $40K
698,$80K - $120K
5245,Less than $40K
3150,$60K - $80K
3881,Less than $40K
8756,Unknown
9769,Less than $40K
6591,$80K - $120K
5225,Unknown
4319,Less than $40K
5811,Unknown
2430,$40K - $60K
6453,$60K - $80K
3424,Less than $40K
